Meas_Num,Item,Series,Time_Stamp,Date,Time_s,Measurement_ID,Image,Intensity_Cnt_s,Normalized_Intensity_Cnt_s,Number_Acqs,Number_Unmarked_Acqs,Number_Marked_Acqs,Acqs_Unmarked,Acq_Time_s,DLS_Temp_C,Attenuation_Level,Laser_Power,Set_Temp_C,Ramp_Rate_C_min,Well,Row,Col,Configuration,Radius_nm,Amplitude,Diffusion_Coefficient_cm_s,Diameter_nm,Polydispersity_nm,PD,PD_Index,Mw_R_kDa,Baseline,SOS,Viscosity_from_Sample_Rh_cP,Lambda_1_s,Sigma_1_s,D10_nm,D50_nm,D90_nm,Span_D90_D10_D50,RMS_Error,Number_Unfiltered_Peaks_I,Number_Filtered_Peaks_I,Pre_correction_Internal_Standard_Rh_I_nm,Internal_Standard_Viscosity_I_cP,Mw_S_Da,_1_Mw_S_1_Da,Particle_Concentration_1_mL,Particle_Concentration_Calculation,Particle_Material,Particle_Shape,Particle_Core_Real_RI,Particle_Core_Imaginary_RI,Sample,Concentration_mg_mL,Mw_R_Model,dn_dc_mL_g,Conformation_Model_for_SLS,A2_mol_mL_g_2,Viscosity_Calculation_Use_Internal_Standard,Internal_Standard_Rh_nm,Internal_Standard_Rh_Range_Minimum_nm,Internal_Standard_Rh_Range_Maximum_nm,Solvent,Rfr_Idx_589nm_20C,Viscosity_cP,Temp_Model,Peak_Num,Peak_Radius_nm_I,Peak_Diameter_nm_I,Peak_Diffusion_Coefficient_cm_s_I,Peak_Mw_R_kDa_I,Peak_Pd_I,Peak_Pd_nm_I,Peak_Pd_Index_I,Peak_Intensity_I,Peak_Mass_I,Peak_Number_I,Membrane_Type,Protein_Type,Protein_Conc,Lipid_Type,Lipid_Conc,Polymer_Type,Polymer_Percentage,Buffer_Type,Buffer_Conc,pH,Salt_Conc,Polymer_Mr,Latex_Nanospheres,Experiment_ID
5,"A5 ",NULL,14:03:03,04/02/2020,190,5,View,5.78E+06,9.64E+06,5,5,0,100,5.03316,25.0221,0,60,25,0,A5,1,5,2020-Feb-04 13:58:33,66.0947,0.0877277,3.73E-08,132.189,28.3346,42.8696,0.428696,61094.9,1.00377,0.144505,--,973.704,1299.53,--,--,--,--,0.000161056,4,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886526,Aqueous,1,57.6248,115.25,4.27E-08,44325.4,30.7894,17.7424,0.307894,93.8648,73.8495,99.7639,E. coli Membrane,NULL,NULL,NULL,0.313,NULL,NULL,TRIS,50,8,150,NULL,NULL,040230
5,"A5 ",NULL,14:03:03,04/02/2020,190,5,View,5.78E+06,9.64E+06,5,5,0,100,5.03316,25.0221,0,60,25,0,A5,1,5,2020-Feb-04 13:58:33,66.0947,0.0877277,3.73E-08,132.189,28.3346,42.8696,0.428696,61094.9,1.00377,0.144505,--,973.704,1299.53,--,--,--,--,0.000161056,4,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886526,Aqueous,2,274.328,548.657,8.98E-09,1.71E+06,19.2702,52.8635,0.192702,6.13519,26.1505,0.236086,E. coli Membrane,NULL,NULL,NULL,0.313,NULL,NULL,TRIS,50,8,150,NULL,NULL,040231
6,"A6 ",NULL,14:03:43,04/02/2020,230,6,View,4.97E+06,9.93E+06,5,5,0,100,5.03316,25.0111,0,50,25,0,A6,1,6,2020-Feb-04 13:58:33,63.6767,0.105758,3.87E-08,127.353,36.3464,57.0796,0.570796,55992.7,1.00984,1.2114,--,0.000142596,1924.96,--,--,--,--,0.000225716,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.88675,Aqueous,1,16.4516,32.9032,1.50E-07,2359.73,7.86051,1.29318,0.0786051,8.64288,36.4446,97.8083,E. coli Membrane,NULL,NULL,NULL,0.313,NULL,NULL,TRIS,50,8,150,NULL,NULL,040232
6,"A6 ",NULL,14:03:43,04/02/2020,230,6,View,4.97E+06,9.93E+06,5,5,0,100,5.03316,25.0111,0,50,25,0,A6,1,6,2020-Feb-04 13:58:33,63.6767,0.105758,3.87E-08,127.353,36.3464,57.0796,0.570796,55992.7,1.00984,1.2114,--,0.000142596,1924.96,--,--,--,--,0.000225716,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.88675,Aqueous,2,56.0993,112.199,4.39E-08,41628.4,16.7242,9.38216,0.167242,85.0027,26.2316,2.19055,E. coli Membrane,NULL,NULL,NULL,0.313,NULL,NULL,TRIS,50,8,150,NULL,NULL,040233
6,"A6 ",NULL,14:03:43,04/02/2020,230,6,View,4.97E+06,9.93E+06,5,5,0,100,5.03316,25.0111,0,50,25,0,A6,1,6,2020-Feb-04 13:58:33,63.6767,0.105758,3.87E-08,127.353,36.3464,57.0796,0.570796,55992.7,1.00984,1.2114,--,0.000142596,1924.96,--,--,--,--,0.000225716,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.88675,Aqueous,3,724.007,1448.01,3.40E-09,1.65E+07,5.03875,36.4809,0.0503875,6.35446,37.3239,0.00111924,E. coli Membrane,NULL,NULL,NULL,0.313,NULL,NULL,TRIS,50,8,150,NULL,NULL,040234
7,"A7 ",NULL,14:04:24,04/02/2020,271,7,View,3.87E+06,3.87E+06,5,5,0,100,5.03316,24.9956,0,100,25,0,A7,1,7,2020-Feb-04 13:58:33,65.696,0.0901272,3.75E-08,131.392,37.499,57.0796,0.570796,60235.9,1.01073,1.06831,--,1.54E-09,1865.03,--,--,--,--,0.000180444,4,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.887065,Aqueous,1,50.527,101.054,4.87E-08,32589.9,23.1652,11.7047,0.231652,93.1257,58.6151,99.9234,E. coli Membrane,NULL,NULL,NULL,0.157,NULL,NULL,TRIS,50,8,150,NULL,NULL,040235
7,"A7 ",NULL,14:04:24,04/02/2020,271,7,View,3.87E+06,3.87E+06,5,5,0,100,5.03316,24.9956,0,100,25,0,A7,1,7,2020-Feb-04 13:58:33,65.696,0.0901272,3.75E-08,131.392,37.499,57.0796,0.570796,60235.9,1.01073,1.06831,--,1.54E-09,1865.03,--,--,--,--,0.000180444,4,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.887065,Aqueous,2,426.988,853.976,5.76E-09,4.81E+06,18.4829,78.9199,0.184829,6.87433,41.3849,0.0766313,E. coli Membrane,NULL,NULL,NULL,0.157,NULL,NULL,TRIS,50,8,150,NULL,NULL,040236
8,"A8 ",NULL,14:05:05,04/02/2020,312,8,View,3.66E+06,3.66E+06,5,5,0,100,5.03316,24.9897,0,100,25,0,A8,1,8,2020-Feb-04 13:58:33,62.1845,0.09177,3.96E-08,124.369,33.5629,53.973,0.53973,52970.8,1.0054,0.715162,--,312.203,1820.32,--,--,--,--,0.000257871,4,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.887188,Aqueous,1,54.5949,109.19,4.51E-08,39063.2,32.9785,18.0046,0.329785,96.196,75.0407,99.9636,E. coli Membrane,NULL,NULL,NULL,0.157,NULL,NULL,TRIS,50,8,150,NULL,NULL,040237
8,"A8 ",NULL,14:05:05,04/02/2020,312,8,View,3.66E+06,3.66E+06,5,5,0,100,5.03316,24.9897,0,100,25,0,A8,1,8,2020-Feb-04 13:58:33,62.1845,0.09177,3.96E-08,124.369,33.5629,53.973,0.53973,52970.8,1.0054,0.715162,--,312.203,1820.32,--,--,--,--,0.000257871,4,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.887188,Aqueous,2,463.86,927.72,5.30E-09,5.83E+06,26.279,121.898,0.26279,3.804,24.9593,0.0363596,E. coli Membrane,NULL,NULL,NULL,0.157,NULL,NULL,TRIS,50,8,150,NULL,NULL,040238
9,"A9 ",NULL,14:05:47,04/02/2020,354,9,View,2.51E+06,2.51E+06,5,5,0,100,5.03316,24.9893,0,100,25,0,A9,1,9,2020-Feb-04 13:58:33,88.3296,0.0655181,2.79E-08,176.659,50.4182,57.0796,0.570796,120414,1.12939,29.363,--,3.75E-05,1386.9,--,--,--,--,0.00118823,3,1,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.887196,Aqueous,1,39.8289,79.6578,6.18E-08,18677.7,8.4494,3.3653,0.084494,100,100,100,E. coli Membrane,NULL,NULL,NULL,0.078,NULL,NULL,TRIS,50,8,150,NULL,NULL,040239
10,"A10 ",NULL,14:06:28,04/02/2020,395,10,View,1.87E+06,1.87E+06,5,5,0,100,5.03316,24.9895,0,100,25,0,A10,1,10,2020-Feb-04 13:58:33,78.4695,0.0784971,3.14E-08,156.939,44.7901,57.0796,0.570796,91285.1,1.04018,11.6439,--,5.19E-05,1561.19,--,--,--,--,0.00033437,4,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.88719,Aqueous,1,38.5063,77.0127,6.39E-08,17258.7,10.7024,4.12112,0.107024,81.5406,49.4349,99.6012,E. coli Membrane,NULL,NULL,NULL,0.078,NULL,NULL,TRIS,50,8,150,NULL,NULL,040240
10,"A10 ",NULL,14:06:28,04/02/2020,395,10,View,1.87E+06,1.87E+06,5,5,0,100,5.03316,24.9895,0,100,25,0,A10,1,10,2020-Feb-04 13:58:33,78.4695,0.0784971,3.14E-08,156.939,44.7901,57.0796,0.570796,91285.1,1.04018,11.6439,--,5.19E-05,1561.19,--,--,--,--,0.00033437,4,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.88719,Aqueous,2,233.336,466.672,1.05E-08,1.17E+06,10.9363,25.5183,0.109363,18.4594,50.5651,0.398782,E. coli Membrane,NULL,NULL,NULL,0.078,NULL,NULL,TRIS,50,8,150,NULL,NULL,040241
11,"A11 ",NULL,14:07:18,04/02/2020,445,11,View,6.34E+06,1.81E+08,5,5,0,100,5.03316,24.995,95,70,25,0,A11,1,11,2020-Feb-04 13:58:33,50.2054,0.159617,4.90E-08,100.411,1.54E-07,3.06E-07,3.06E-09,32106.5,1.00115,0.751299,--,1947.19,0.107756,--,--,--,--,0.000822608,1,1,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.887078,Aqueous,1,48.9706,97.9412,5.02E-08,30289.3,10.5738,5.17805,0.105738,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,040242
12,"A12 ",NULL,14:07:58,04/02/2020,485,12,View,5.21E+06,1.89E+08,5,5,0,100,5.03316,24.9982,95,55,25,0,A12,1,12,2020-Feb-04 13:58:33,55.4539,0.177746,4.44E-08,110.908,2.38747,4.30532,0.0430532,40516.4,1.00275,0.629636,--,1763.04,365.821,--,--,--,--,0.000737568,1,1,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.887014,Aqueous,1,50.0434,100.087,4.92E-08,31864.7,9.2415,4.62476,0.092415,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,040243
13,"B1 ",NULL,14:08:48,04/02/2020,535,13,View,4.97E+06,8.28E+08,5,5,0,100,5.03316,25.0008,97,20,25,0,B1,2,1,2020-Feb-04 13:58:33,48.3849,0.294119,5.09E-08,96.7698,18.4797,38.1932,0.381932,29448.5,0.999434,3.04161,--,1560.51,1577.86,--,--,--,--,0.000477692,4,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886961,Aqueous,1,11.017,22.0341,2.23E-07,923.426,26.8463,2.95766,0.268463,5.49534,57.3605,99.4738,NULL,NULL,NULL,NULL,NULL,SMI,0.5,TRIS,50,8,150,NULL,NULL,040244
13,"B1 ",NULL,14:08:48,04/02/2020,535,13,View,4.97E+06,8.28E+08,5,5,0,100,5.03316,25.0008,97,20,25,0,B1,2,1,2020-Feb-04 13:58:33,48.3849,0.294119,5.09E-08,96.7698,18.4797,38.1932,0.381932,29448.5,0.999434,3.04161,--,1560.51,1577.86,--,--,--,--,0.000477692,4,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886961,Aqueous,2,71.1418,142.284,3.46E-08,72573.8,47.4913,33.7861,0.474913,94.5047,42.6395,0.526151,NULL,NULL,NULL,NULL,NULL,SMI,0.5,TRIS,50,8,150,NULL,NULL,040245
14,"B2 ",NULL,14:09:27,04/02/2020,574,14,View,5.35E+06,8.92E+08,5,5,0,100,5.03316,25.0038,97,20,25,0,B2,2,2,2020-Feb-04 13:58:33,47.9736,0.277724,5.13E-08,95.9472,19.7343,41.1358,0.411358,28866,0.999692,2.7055,--,1435.78,1713.75,--,--,--,--,0.000460338,3,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886898,Aqueous,1,17.3522,34.7044,1.42E-07,2673.14,12.1319,2.10516,0.121319,17.1778,68.8821,99.4108,NULL,NULL,NULL,NULL,NULL,SMI,0.5,TRIS,50,8,150,NULL,NULL,040246
14,"B2 ",NULL,14:09:27,04/02/2020,574,14,View,5.35E+06,8.92E+08,5,5,0,100,5.03316,25.0038,97,20,25,0,B2,2,2,2020-Feb-04 13:58:33,47.9736,0.277724,5.13E-08,95.9472,19.7343,41.1358,0.411358,28866,0.999692,2.7055,--,1435.78,1713.75,--,--,--,--,0.000460338,3,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886898,Aqueous,2,70.7415,141.483,3.48E-08,71621.9,17.3694,12.2874,0.173694,82.8222,31.1179,0.589235,NULL,NULL,NULL,NULL,NULL,SMI,0.5,TRIS,50,8,150,NULL,NULL,040247
15,"B3 ",NULL,14:10:05,04/02/2020,612,15,View,5.43E+06,9.06E+08,5,5,0,100,5.03316,25.0059,97,20,25,0,B3,2,3,2020-Feb-04 13:58:33,49.0978,0.281051,5.01E-08,98.1955,20.048,40.8329,0.408329,30473.7,0.999384,2.31756,--,1418.14,1661.95,--,--,--,--,0.000376215,4,1,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886856,Aqueous,1,73.8804,147.761,3.33E-08,79280.1,61.0386,45.0956,0.610386,100,100,100,NULL,NULL,NULL,NULL,NULL,SMI,0.5,TRIS,50,8,150,NULL,NULL,040248
16,"B4 ",NULL,14:10:45,04/02/2020,652,16,View,7.07E+06,1.18E+09,5,5,0,100,5.03316,25.0025,97,20,25,0,B4,2,4,2020-Feb-04 13:58:33,89.4264,0.248293,2.75E-08,178.853,19.8304,22.1751,0.221751,123942,0.999854,1.49302,--,1057.23,551.956,--,--,--,--,0.000486048,4,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886925,Aqueous,1,14.2332,28.4665,1.73E-07,1681.43,11.88,1.69091,0.1188,2.98593,10.0077,98.6884,NULL,NULL,NULL,NULL,NULL,SMI,0.1,TRIS,50,8,150,NULL,NULL,040249
16,"B4 ",NULL,14:10:45,04/02/2020,652,16,View,7.07E+06,1.18E+09,5,5,0,100,5.03316,25.0025,97,20,25,0,B4,2,4,2020-Feb-04 13:58:33,89.4264,0.248293,2.75E-08,178.853,19.8304,22.1751,0.221751,123942,0.999854,1.49302,--,1057.23,551.956,--,--,--,--,0.000486048,4,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886925,Aqueous,2,104.187,208.374,2.36E-08,177198,27.4981,28.6494,0.274981,95.8379,63.9294,1.31157,NULL,NULL,NULL,NULL,NULL,SMI,0.1,TRIS,50,8,150,NULL,NULL,040250
16,"B4 ",NULL,14:10:45,04/02/2020,652,16,View,7.07E+06,1.18E+09,5,5,0,100,5.03316,25.0025,97,20,25,0,B4,2,4,2020-Feb-04 13:58:33,89.4264,0.248293,2.75E-08,178.853,19.8304,22.1751,0.221751,123942,0.999854,1.49302,--,1057.23,551.956,--,--,--,--,0.000486048,4,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886925,Aqueous,3,4553.73,9107.46,5.40E-10,1.22E+09,15.9281,725.322,0.159281,1.17618,26.0629,7.42E-06,NULL,NULL,NULL,NULL,NULL,SMI,0.1,TRIS,50,8,150,NULL,NULL,040251
17,"B5 ",NULL,14:11:29,04/02/2020,696,17,View,5.04E+06,1.26E+09,5,5,0,100,5.03316,24.9966,98,20,25,0,B5,2,5,2020-Feb-04 13:58:33,91.0255,0.260289,2.70E-08,182.051,22.0679,24.2437,0.242437,129190,0.999521,2.00687,--,1024.67,576.766,--,--,--,--,0.000665708,3,2,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.887046,Aqueous,1,16.9508,33.9016,1.45E-07,2530.68,16.0555,2.72154,0.160555,2.57912,8.42988,96.9011,NULL,NULL,NULL,NULL,NULL,SMI,0.1,TRIS,50,8,150,NULL,NULL,040252
